,24,36,48,60,72
10-7-18,10-7-18,10-7-18,10-7-18,10-7-18,10-7-18
10-7-20,10-7-20,10-7-20,10-7-20,10-7-20,10-7-20
10-7-22,10-7-22,10-7-22,10-7-22,10-7-22,10-7-22
10-7-24,10-7-24,10-7-24,10-7-24,10-7-24,10-7-24
10-8-6,10-8-6,10-8-6,10-8-6,10-8-6,10-8-6
10-8-8,10-8-8,10-8-8,10-8-8,10-8-8,10-8-8
10-8-10,10-8-10,10-8-10,10-8-10,10-8-10,10-8-10
10-8-12,10-8-12,10-8-12,10-8-12,10-8-12,10-8-12
10-8-14,10-8-14,10-8-14,10-8-14,10-8-14,10-8-14
10-8-16,10-8-16,10-8-16,10-8-16,10-8-16,10-8-16
10-8-18,10-8-18,10-8-18,10-8-18,10-8-18,10-8-18
10-8-20,10-8-20,10-8-20,10-8-20,10-8-20,10-8-20
10-8-22,10-8-22,10-8-22,10-8-22,10-8-22,10-8-22
10-8-24,10-8-24,10-8-24,10-8-24,10-8-24,10-8-24
10-9-6,10-9-6,10-9-6,10-9-6,10-9-6,10-9-6
10-9-8,10-9-8,10-9-8,10-9-8,10-9-8,10-9-8
10-9-10,10-9-10,10-9-10,10-9-10,10-9-10,10-9-10
10-9-12,10-9-12,10-9-12,10-9-12,10-9-12,10-9-12
10-9-14,10-9-14,10-9-14,10-9-14,10-9-14,10-9-14
10-9-16,10-9-16,10-9-16,10-9-16,10-9-16,10-9-16
10-9-18,10-9-18,10-9-18,10-9-18,10-9-18,10-9-18
10-9-20,10-9-20,10-9-20,10-9-20,10-9-20,10-9-20
10-9-22,10-9-22,10-9-22,10-9-22,10-9-22,10-9-22
10-9-24,10-9-24,10-9-24,10-9-24,10-9-24,10-9-24
10-10-6,10-10-6,10-10-6,10-10-6,10-10-6,10-10-6
10-10-8,10-10-8,10-10-8,10-10-8,10-10-8,10-10-8
10-10-10,10-10-10,10-10-10,10-10-10,10-10-10,10-10-10
10-10-12,10-10-12,10-10-12,10-10-12,10-10-12,10-10-12
10-10-14,10-10-14,10-10-14,10-10-14,10-10-14,10-10-14
10-10-16,10-10-16,10-10-16,10-10-16,10-10-16,10-10-16
10-10-18,10-10-18,10-10-18,10-10-18,10-10-18,10-10-18
10-10-20,10-10-20,10-10-20,10-10-20,10-10-20,10-10-20
10-10-22,10-10-22,10-10-22,10-10-22,10-10-22,10-10-22
10-10-24,10-10-24,10-10-24,10-10-24,10-10-24,10-10-24
